GnPR,treeDensity,park_grass_ratio,parcel_grass_ratio,greenroof_ratio,roadDensity,bldDensity,avg_BH,avg_GPR,UHI_d
0.845631,0,0.124305,0.721326,0.0,0.8,3,111.1,1.652075,0.142432
0.728977,0,0.074712,0.654265,0.0,0.8,3,79.5,1.76226,0.15766
0.72706,0,0.066283,0.660777,0.0,0.8,3,79.8,1.894567,0.159772
0.733804,0,0.170084,0.56372,0.0,0.8,3,87.0,2.029858,0.155194
0.729694,0,0.074712,0.654982,0.0,0.8,3,79.5,1.741987,0.157089
0.7836,0,0.034899,0.748701,0.0,0.3,5,49.0,1.508422,0.166073
0.820725,0,0.0,0.820725,0.0,0.3,5,65.7,1.871979,0.176986
0.894947,0,0.0,0.894947,0.0,0.3,5,81.1,1.794242,0.167215
0.890146,0,0.0,0.890146,0.0,0.3,5,85.9,1.680718,0.16008
0.920509,0,0.079221,0.841288,0.0,0.3,5,101.6,1.342812,0.139326
0.785728,0,0.017184,0.768544,0.0,0.3,5,51.3,1.451513,0.166393
0.82142,0,0.0,0.82142,0.0,0.3,5,67.9,1.868566,0.177751
0.894947,0,0.0,0.894947,0.0,0.3,5,80.9,1.703066,0.167146
0.890146,0,0.0,0.890146,0.0,0.3,5,79.8,1.529644,0.157352
0.917212,0,0.0,0.917212,0.0,0.3,5,97.8,1.248314,0.142694
0.785584,0,0.020337,0.765247,0.0,0.3,5,48.9,1.380416,0.164737
0.823939,0,0.0,0.823939,0.0,0.3,5,65.3,1.784152,0.173893
0.894947,0,0.0,0.894947,0.0,0.3,5,80.5,1.759878,0.167237
0.89373,0,0.048911,0.844819,0.0,0.3,5,90.1,1.66998,0.157489
0.920509,0,0.093059,0.82745,0.0,0.3,5,103.3,1.332727,0.139658
0.784316,0,0.034899,0.749417,0.0,0.3,5,49.2,1.49979,0.165811
0.827953,0,0.076933,0.75102,0.0,0.3,5,67.3,1.914107,0.172043
0.901828,0,0.079221,0.822607,0.0,0.3,5,89.3,1.899252,0.163425
0.893729,0,0.032606,0.861123,0.0,0.3,5,87.1,1.6171,0.15629
0.785301,0,0.043345,0.741956,0.0,0.3,5,52.0,1.49802,0.167135
0.830174,0,0.079094,0.75108,0.0,0.3,5,71.2,1.934562,0.172169
0.901827,0,0.101173,0.800654,0.0,0.3,5,84.1,1.778293,0.161073
0.897026,0,0.124679,0.772347,0.0,0.3,5,95.0,1.882565,0.155445
0.924379,0,0.126932,0.797447,0.0,0.3,5,107.5,1.260062,0.134874
0.785918,0,0.039873,0.746045,0.0,0.3,5,50.9,1.434234,0.166039
0.828727,0,0.061917,0.76681,0.0,0.3,5,70.9,1.929219,0.173253
0.898531,0,0.040743,0.857788,0.0,0.3,5,80.9,1.700856,0.163253
0.897026,0,0.093067,0.803959,0.0,0.3,5,89.6,1.597181,0.153311
0.786798,0,0.07787,0.708928,0.0,0.3,5,48.6,1.587914,0.163721
0.828669,0,0.076933,0.751736,0.0,0.3,5,66.9,1.883837,0.170993
0.897026,0,0.075079,0.821947,0.0,0.3,5,85.0,1.54834,0.151895
0.788579,0,0.083967,0.704612,0.0,0.3,5,48.6,1.52769,0.162432
0.833471,0,0.101552,0.731919,0.0,0.3,5,72.7,1.968612,0.16984
0.790962,0,0.088338,0.702624,0.0,0.3,5,51.1,1.493545,0.162523
0.831124,0,0.088346,0.742778,0.0,0.3,5,72.1,1.996156,0.171804
0.901827,0,0.093058,0.808769,0.0,0.3,5,83.4,1.756544,0.160856
0.787146,0,0.07787,0.709276,0.0,0.3,5,48.5,1.57877,0.163368
0.799126,0,0.134371,0.664755,0.0,0.3,5,59.2,1.549855,0.161358
0.836108,0,0.127706,0.708402,0.0,0.3,5,75.9,2.017093,0.169578
0.903565,0,0.135935,0.76763,0.0,0.3,5,83.2,1.841902,0.158847
0.80053,0,0.173354,0.627176,0.0,0.3,5,56.0,1.63129,0.15863
0.710259,0,0.029264,0.680995,0.0,0.8,5,49.4,1.389661,0.158345
0.758607,0,0.0,0.758607,0.0,0.8,5,68.4,1.919627,0.174749
0.81633,0,0.0,0.81633,0.0,0.8,5,80.9,1.942518,0.168082
0.837617,0,0.0,0.837617,0.0,0.8,5,89.1,1.791901,0.161199
0.873333,0,0.076934,0.796399,0.0,0.8,5,106.4,1.618224,0.145811
0.711151,0,0.017183,0.693968,0.0,0.8,5,51.3,1.327369,0.15887
0.758586,0,0.0,0.758586,0.0,0.8,5,70.3,1.907671,0.175616
0.816678,0,0.0,0.816678,0.0,0.8,5,79.5,1.802326,0.166735
0.837617,0,0.0,0.837617,0.0,0.8,5,87.4,1.708802,0.160377
0.871596,0,0.0,0.871596,0.0,0.8,5,99.9,1.389974,0.146587
0.709244,0,0.015661,0.693583,0.0,0.8,5,49.3,1.337159,0.15911
0.760621,0,0.0,0.760621,0.0,0.8,5,68.1,1.899206,0.172477
0.816678,0,0.0,0.816678,0.0,0.8,5,81.1,1.897802,0.167922
0.841201,0,0.045994,0.795207,0.0,0.8,5,90.5,1.747907,0.157397
0.873333,0,0.091245,0.782088,0.0,0.8,5,109.4,1.609424,0.14661
0.710316,0,0.029264,0.681052,0.0,0.8,5,49.4,1.390152,0.158322
0.767154,0,0.072776,0.694378,0.0,0.8,5,71.7,1.908801,0.168573
0.824217,0,0.07693,0.747287,0.0,0.8,5,89.8,2.043567,0.163276
0.84444,0,0.072791,0.771649,0.0,0.8,5,87.8,1.675845,0.152785
0.713179,0,0.043355,0.669824,0.0,0.8,5,50.3,1.299669,0.15645
0.7662,0,0.075955,0.690245,0.0,0.8,5,73.3,1.976562,0.170445
0.823558,0,0.095462,0.728096,0.0,0.8,5,85.2,1.942742,0.162078
0.845214,0,0.119667,0.725547,0.0,0.8,5,99.1,2.004455,0.155582
0.876916,0,0.121947,0.754969,0.0,0.8,5,110.5,1.513839,0.141381
0.710606,0,0.032258,0.678348,0.0,0.8,5,51.8,1.362786,0.159589
0.76853,0,0.055418,0.713112,0.0,0.8,5,74.2,1.930594,0.16847
0.823558,0,0.082933,0.740625,0.0,0.8,5,84.9,1.905372,0.162021
0.844497,0,0.088649,0.755848,0.0,0.8,5,97.4,1.772316,0.155822
0.711548,0,0.046107,0.665441,0.0,0.8,5,48.0,1.410727,0.156244
0.767814,0,0.072776,0.695038,0.0,0.8,5,71.9,1.895817,0.167968
0.715769,0,0.083981,0.631788,0.0,0.8,5,49.6,1.408245,0.154212
0.770999,0,0.098406,0.672593,0.0,0.8,5,74.6,1.945459,0.166416
0.714508,0,0.074712,0.639796,0.0,0.8,5,50.1,1.39307,0.155411
0.770637,0,0.078687,0.69195,0.0,0.8,5,78.6,2.067256,0.168779
0.715514,0,0.066283,0.649231,0.0,0.8,5,49.9,1.398715,0.154452
0.72442,0,0.151159,0.573261,0.0,0.8,5,58.1,1.491099,0.15234
0.772883,0,0.119005,0.653878,0.0,0.8,5,79.3,2.030938,0.166895
0.824948,0,0.124305,0.700643,0.0,0.8,5,89.0,2.096776,0.162237
0.72596,0,0.170084,0.555876,0.0,0.8,5,57.6,1.505136,0.150776
0.715167,0,0.074712,0.640455,0.0,0.8,5,50.1,1.374741,0.154932
0.777118,0,0.034899,0.742219,0.0,0.3,7,37.1,1.207865,0.159623
0.801483,0,0.0,0.801483,0.0,0.3,7,49.7,1.741346,0.178584
0.871165,0,0.0,0.871165,0.0,0.3,7,63.8,1.891813,0.178687
0.871244,0,0.0,0.871244,0.0,0.3,7,71.3,1.818612,0.172352
0.908039,0,0.079221,0.828818,0.0,0.3,7,90.9,1.629466,0.152329
0.779422,0,0.017184,0.762238,0.0,0.3,7,37.5,1.127781,0.158379
0.805341,0,0.0,0.805341,0.0,0.3,7,50.3,1.632953,0.175799
0.871165,0,0.0,0.871165,0.0,0.3,7,65.6,1.855675,0.180308
0.871613,0,0.0,0.871613,0.0,0.3,7,70.5,1.755584,0.171153
0.903423,0,0.0,0.903423,0.0,0.3,7,86.8,1.499834,0.15621
0.77606,0,0.020337,0.755723,0.0,0.3,7,36.3,1.131803,0.159452
0.80359,0,0.0,0.80359,0.0,0.3,7,49.0,1.681347,0.176119
0.871881,0,0.0,0.871881,0.0,0.3,7,63.6,1.84871,0.178105
0.87448,0,0.048911,0.825569,0.0,0.3,7,75.1,1.876662,0.171084
0.908039,0,0.093059,0.81498,0.0,0.3,7,92.7,1.624944,0.152979
0.813846,0,0.076933,0.736913,0.0,0.3,7,53.1,1.717273,0.172614
0.88289,0,0.079221,0.803669,0.0,0.3,7,74.8,2.06888,0.17589
0.875544,0,0.032606,0.842938,0.0,0.3,7,72.9,1.778562,0.16887
0.781528,0,0.043345,0.738183,0.0,0.3,7,39.6,1.173929,0.15903
0.816428,0,0.079094,0.737334,0.0,0.3,7,58.2,1.787972,0.174475
0.884266,0,0.101173,0.783093,0.0,0.3,7,69.5,1.841638,0.17113
0.880159,0,0.124679,0.75548,0.0,0.3,7,77.5,2.027524,0.166941
0.913457,0,0.126932,0.786525,0.0,0.3,7,97.2,1.54456,0.147683
0.77911,0,0.039873,0.739237,0.0,0.3,7,39.1,1.16954,0.160274
0.815548,0,0.061917,0.753631,0.0,0.3,7,54.3,1.686038,0.172066
0.878274,0,0.040743,0.837531,0.0,0.3,7,67.3,1.83979,0.175342
0.879095,0,0.093067,0.786028,0.0,0.3,7,74.9,1.777224,0.166473
0.781359,0,0.07787,0.703489,0.0,0.3,7,35.0,1.212743,0.155377
0.882173,0,0.079221,0.802952,0.0,0.3,7,74.5,2.083113,0.17645
0.880529,0,0.075079,0.80545,0.0,0.3,7,73.9,1.729414,0.164543
0.782885,0,0.083967,0.698918,0.0,0.3,7,36.2,1.211164,0.155388
0.82079,0,0.101552,0.719238,0.0,0.3,7,57.8,1.763163,0.170925
0.785386,0,0.088338,0.697048,0.0,0.3,7,38.1,1.188622,0.155651
0.816755,0,0.088346,0.728409,0.0,0.3,7,53.3,1.745435,0.170297
0.882946,0,0.093058,0.789888,0.0,0.3,7,70.2,1.917445,0.173071
0.781011,0,0.07787,0.703141,0.0,0.3,7,35.1,1.221084,0.155651
0.794034,0,0.134371,0.659663,0.0,0.3,7,44.6,1.23474,0.154806
0.823739,0,0.127706,0.696033,0.0,0.3,7,60.8,1.869259,0.170799
0.883946,0,0.135935,0.748011,0.0,0.3,7,66.0,1.931229,0.169224
