sim_no,UHI_d,asphalt_ratio,park_grass_ratio,parcel_grass_ratio,podium_grass_ratio,GnPR,TCR,greenroof_ratio,SCR,parcel_fp_ratio,podium_fp_ratio,tower_GFA,podium_GFA,total_GFA,avg_BH,avg_GPR,parcelArea,parkLocation,parkRadius,roadDensity,bldDensity,podiumDensity,treeDensity,roofType
459,0.166553,0.048316,0,0.889635,0,0.889635,0,0,0.062049,0.062049,0,1761000,0,1761000,76.8,1.659427,6,42,100,0.3,9,0,0,0
460,0.154406,0.134203,0.020337,0.750886,0,0.771223,0,0,0.094575,0.094575,0,993509.2813,0,993509.2813,28.8,0.942871,2,72,100,0.3,9,0,0,0
461,0.17234,0.09955,0,0.791234,0,0.791234,0,0,0.109216,0.109216,0,1593600,0,1593600,38,1.458332,3,72,100,0.3,9,0,0,0
462,0.181986,0.044727,0,0.854065,0,0.854065,0,0,0.101208,0.101208,0,1998200,0,1998200,52.5,1.783472,4,72,100,0.3,9,0,0,0
463,0.179098,0.058153,0.048911,0.809512,0,0.858423,0,0,0.083431,0.083431,0,2035700,0,2035700,65.2,1.934355,5,72,100,0.3,9,0,0,0
464,0.163253,0.048316,0.093059,0.80251,0,0.895569,0,0,0.056115,0.056115,0,1711500,0,1711500,82.7,1.804066,6,72,100,0.3,9,0,0,0
465,0.154886,0.134203,0.034899,0.737439,0,0.772338,0,0,0.09346,0.09346,0,1017200,0,1017200,29.8,1.010002,2,0,150,0.3,9,0,0,0
466,0.168116,0.09955,0.076933,0.730373,0,0.807306,0,0,0.093144,0.093144,0,1476700,0,1476700,43.4,1.468684,3,0,150,0.3,9,0,0,0
467,0.179852,0.044727,0.079221,0.788583,0,0.867804,0,0,0.087469,0.087469,0,2020700,0,2020700,61.8,2.012926,4,0,150,0.3,9,0,0,0
468,0.178288,0.058153,0.032606,0.825469,0,0.858075,0,0,0.083778,0.083778,0,2035900,0,2035900,63.5,1.891537,5,0,150,0.3,9,0,0,0
469,0.168436,0.048316,0.079221,0.810414,0,0.889635,0,0,0.062049,0.062049,0,1950700,0,1950700,79.3,1.948681,6,0,150,0.3,9,0,0,0
470,0.154041,0.134203,0.043345,0.732317,0,0.775662,0,0,0.090135,0.090135,0,974405.4671,0,974405.4671,30.7,0.971092,2,42,150,0.3,9,0,0,0
471,0.172192,0.09955,0.079094,0.727441,0,0.806535,0,0,0.093915,0.093915,0,1583100,0,1583100,47.3,1.602312,3,42,150,0.3,9,0,0,0
472,0.177945,0.044727,0.101173,0.765971,0,0.867144,0,0,0.088128,0.088128,0,1859000,0,1859000,59.1,1.866683,4,42,150,0.3,9,0,0,0
473,0.173242,0.058153,0.124679,0.740395,0,0.865074,0,0,0.07678,0.07678,0,1970900,0,1970900,64.5,2.049798,5,42,150,0.3,9,0,0,0
474,0.157705,0.048316,0.126932,0.775603,0,0.902535,0,0,0.049149,0.049149,0,1639400,0,1639400,88.8,1.765811,6,42,150,0.3,9,0,0,0
475,0.154909,0.134203,0.039873,0.735095,0,0.774968,0,0,0.09083,0.09083,0,1008200,0,1008200,31.1,0.971205,2,72,150,0.3,9,0,0,0
476,0.167055,0.09955,0.061917,0.747715,0,0.809632,0,0,0.090818,0.090818,0,1444600,0,1444600,44,1.448206,3,72,150,0.3,9,0,0,0
477,0.180491,0.044727,0.040743,0.820858,0,0.861601,0,0,0.093672,0.093672,0,2001700,0,2001700,56.7,1.822126,4,72,150,0.3,9,0,0,0
478,0.173299,0.058153,0.093067,0.773093,0,0.86616,0,0,0.075694,0.075694,0,1843400,0,1843400,66.6,1.818521,5,72,150,0.3,9,0,0,0
479,0.163253,0.048316,0.093059,0.80251,0,0.895569,0,0,0.056115,0.056115,0,1711500,0,1711500,82.7,1.804066,6,72,150,0.3,9,0,0,0
480,0.149772,0.134203,0.07787,0.701439,0,0.779309,0,0,0.086487,0.086487,0,917575.0334,0,917575.0334,27.8,0.986492,2,0,200,0.3,9,0,0,0
481,0.168116,0.09955,0.076933,0.730373,0,0.807306,0,0,0.093144,0.093144,0,1476700,0,1476700,43.4,1.468684,3,0,200,0.3,9,0,0,0
482,0.179852,0.044727,0.079221,0.788583,0,0.867804,0,0,0.087469,0.087469,0,2020700,0,2020700,61.8,2.012926,4,0,200,0.3,9,0,0,0
483,0.174384,0.058153,0.075079,0.789611,0,0.86469,0,0,0.077163,0.077163,0,1946000,0,1946000,65.5,1.855416,5,0,200,0.3,9,0,0,0
484,0.168436,0.048316,0.079221,0.810414,0,0.889635,0,0,0.062049,0.062049,0,1950700,0,1950700,79.3,1.948681,6,0,200,0.3,9,0,0,0
485,0.14895,0.134203,0.083967,0.69613,0,0.780097,0,0,0.085699,0.085699,0,892916.5709,0,892916.5709,27.4,0.954516,2,42,200,0.3,9,0,0,0
486,0.168664,0.09955,0.101552,0.711691,0,0.813243,0,0,0.087207,0.087207,0,1520400,0,1520400,48.8,1.556177,3,42,200,0.3,9,0,0,0
487,0.177945,0.044727,0.101173,0.765971,0,0.867144,0,0,0.088128,0.088128,0,1859000,0,1859000,59.1,1.866683,4,42,200,0.3,9,0,0,0
488,0.172511,0.058153,0.124679,0.741111,0,0.86579,0,0,0.076063,0.076063,0,1957600,0,1957600,64.6,2.031723,5,42,200,0.3,9,0,0,0
489,0.157705,0.048316,0.126932,0.775603,0,0.902535,0,0,0.049149,0.049149,0,1639400,0,1639400,88.8,1.765811,6,42,200,0.3,9,0,0,0
490,0.150502,0.134203,0.088338,0.693935,0,0.782273,0,0,0.083524,0.083524,0,931490.5927,0,931490.5927,30,0.970016,2,72,200,0.3,9,0,0,0
491,0.165537,0.09955,0.088346,0.721232,0,0.809578,0,0,0.090873,0.090873,0,1446000,0,1446000,42.3,1.486949,3,72,200,0.3,9,0,0,0
492,0.176724,0.044727,0.093058,0.775193,0,0.868251,0,0,0.087021,0.087021,0,1914300,0,1914300,58.2,1.853317,4,72,200,0.3,9,0,0,0
493,0.173299,0.058153,0.093067,0.773093,0,0.86616,0,0,0.075694,0.075694,0,1843400,0,1843400,66.6,1.818521,5,72,200,0.3,9,0,0,0
494,0.163253,0.048316,0.093059,0.80251,0,0.895569,0,0,0.056115,0.056115,0,1711500,0,1711500,82.7,1.804066,6,72,200,0.3,9,0,0,0
495,0.149589,0.134203,0.07787,0.701787,0,0.779657,0,0,0.08614,0.08614,0,912353.9882,0,912353.9882,27.7,0.982836,2,0,250,0.3,9,0,0,0
496,0.168116,0.09955,0.076933,0.730373,0,0.807306,0,0,0.093144,0.093144,0,1476700,0,1476700,43.4,1.468684,3,0,250,0.3,9,0,0,0
497,0.179338,0.044727,0.079221,0.7893,0,0.868521,0,0,0.086752,0.086752,0,2012500,0,2012500,62,2.001977,4,0,250,0.3,9,0,0,0
498,0.174646,0.058153,0.075079,0.788952,0,0.864031,0,0,0.077822,0.077822,0,1955900,0,1955900,65.3,1.868928,5,0,250,0.3,9,0,0,0
499,0.168436,0.048316,0.079221,0.810414,0,0.889635,0,0,0.062049,0.062049,0,1950700,0,1950700,79.3,1.948681,6,0,250,0.3,9,0,0,0
500,0.149418,0.134203,0.134371,0.655592,0,0.789963,0,0,0.075834,0.075834,0,897811.1979,0,897811.1979,33.8,0.994372,2,42,250,0.3,9,0,0,0
501,0.16758,0.09955,0.127706,0.688487,0,0.816193,0,0,0.084257,0.084257,0,1551000,0,1551000,49.5,1.642149,3,42,250,0.3,9,0,0,0
502,0.171735,0.044727,0.135935,0.734477,0,0.870412,0,0,0.08486,0.08486,0,1739800,0,1739800,54.6,1.815048,4,42,250,0.3,9,0,0,0
503,0.173242,0.058153,0.124679,0.740395,0,0.865074,0,0,0.07678,0.07678,0,1970900,0,1970900,64.5,2.049798,5,42,250,0.3,9,0,0,0
504,0.157705,0.048316,0.126932,0.775603,0,0.902535,0,0,0.049149,0.049149,0,1639400,0,1639400,88.8,1.765811,6,42,250,0.3,9,0,0,0
505,0.150502,0.134203,0.088338,0.693935,0,0.782273,0,0,0.083524,0.083524,0,931490.5927,0,931490.5927,30,0.970016,2,72,250,0.3,9,0,0,0
506,0.165537,0.09955,0.088346,0.721232,0,0.809578,0,0,0.090873,0.090873,0,1446000,0,1446000,42.3,1.486949,3,72,250,0.3,9,0,0,0
507,0.177226,0.044727,0.093058,0.774477,0,0.867535,0,0,0.087737,0.087737,0,1920900,0,1920900,58,1.862076,4,72,250,0.3,9,0,0,0
508,0.172877,0.058153,0.093067,0.773809,0,0.866876,0,0,0.074977,0.074977,0,1835900,0,1835900,67,1.808354,5,72,250,0.3,9,0,0,0
509,0.163253,0.048316,0.093059,0.80251,0,0.895569,0,0,0.056115,0.056115,0,1711500,0,1711500,82.7,1.804066,6,72,250,0.3,9,0,0,0
510,0.149224,0.134203,0.07787,0.702134,0,0.780004,0,0,0.085792,0.085792,0,906329.7052,0,906329.7052,27.6,0.976251,2,0,300,0.3,9,0,0,0
511,0.168116,0.09955,0.076933,0.730373,0,0.807306,0,0,0.093144,0.093144,0,1476700,0,1476700,43.4,1.468684,3,0,300,0.3,9,0,0,0
512,0.179852,0.044727,0.079221,0.788583,0,0.867804,0,0,0.087469,0.087469,0,2020700,0,2020700,61.8,2.012926,4,0,300,0.3,9,0,0,0
513,0.174338,0.058153,0.075079,0.789669,0,0.864748,0,0,0.077106,0.077106,0,1946800,0,1946800,65.6,1.85785,5,0,300,0.3,9,0,0,0
514,0.168436,0.048316,0.079221,0.810414,0,0.889635,0,0,0.062049,0.062049,0,1950700,0,1950700,79.3,1.948681,6,0,300,0.3,9,0,0,0
515,0.149212,0.134203,0.173354,0.616487,0,0.789841,0,0,0.075956,0.075956,0,943000.1856,0,943000.1856,33.2,1.102227,2,42,300,0.3,9,0,0,0
516,0.161952,0.09955,0.271938,0.561311,0,0.833249,0,0,0.067201,0.067201,0,1426900,0,1426900,59.9,1.947936,3,42,300,0.3,9,0,0,0
517,0.171724,0.044727,0.28893,0.594476,0,0.883406,0,0,0.071867,0.071867,0,1964800,0,1964800,68.2,2.514158,4,42,300,0.3,9,0,0,0
518,0.169441,0.058153,0.235863,0.643598,0,0.879461,0,0,0.062393,0.062393,0,1955800,0,1955800,80.8,2.422,5,42,300,0.3,9,0,0,0
519,0.15129,0.048316,0.196086,0.712384,0,0.90847,0,0,0.043215,0.043215,0,1493400,0,1493400,89,1.7705,6,42,300,0.3,9,0,0,0
520,0.150502,0.134203,0.088338,0.693935,0,0.782273,0,0,0.083524,0.083524,0,931490.5927,0,931490.5927,30,0.970016,2,72,300,0.3,9,0,0,0
521,0.165537,0.09955,0.088346,0.721232,0,0.809578,0,0,0.090873,0.090873,0,1446000,0,1446000,42.3,1.486949,3,72,300,0.3,9,0,0,0
522,0.176724,0.044727,0.093058,0.775193,0,0.868251,0,0,0.087021,0.087021,0,1914300,0,1914300,58.2,1.853317,4,72,300,0.3,9,0,0,0
523,0.173299,0.058153,0.093067,0.773093,0,0.86616,0,0,0.075694,0.075694,0,1843400,0,1843400,66.6,1.818521,5,72,300,0.3,9,0,0,0
524,0.163253,0.048316,0.093059,0.80251,0,0.895569,0,0,0.056115,0.056115,0,1711500,0,1711500,82.7,1.804066,6,72,300,0.3,9,0,0,0
525,0.148699,0.220688,0.029264,0.673896,0,0.70316,0,0,0.076152,0.076152,0,822915.3916,0,822915.3916,29.4,0.885754,2,0,100,0.8,9,0,0,0
526,0.166587,0.167458,0,0.739853,0,0.739853,0,0,0.092689,0.092689,0,1466100,0,1466100,40.5,1.388391,3,0,100,0.8,9,0,0,0
527,0.179304,0.123344,0,0.780909,0,0.780909,0,0,0.095747,0.095747,0,1912300,0,1912300,53,1.87718,4,0,100,0.8,9,0,0,0
528,0.177135,0.111386,0,0.805177,0,0.805177,0,0,0.083431,0.083431,0,1970300,0,1970300,61.3,1.874457,5,0,100,0.8,9,0,0,0
529,0.168505,0.092195,0.076934,0.768822,0,0.845756,0,0,0.062049,0.062049,0,1956200,0,1956200,78.9,2.050821,6,0,100,0.8,9,0,0,0
530,0.149669,0.220688,0.017183,0.683046,0,0.700229,0,0,0.079084,0.079084,0,853296.5524,0,853296.5524,29.2,0.878892,2,42,100,0.8,9,0,0,0
531,0.166872,0.167458,0,0.741314,0,0.741314,0,0,0.091228,0.091228,0,1383400,0,1383400,42.5,1.376655,3,42,100,0.8,9,0,0,0
532,0.182066,0.123344,0,0.779497,0,0.779497,0,0,0.097158,0.097158,0,1952700,0,1952700,55,1.869638,4,42,100,0.8,9,0,0,0
533,0.178779,0.111386,0,0.803418,0,0.803418,0,0,0.08519,0.08519,0,2072600,0,2072600,61.7,1.933245,5,42,100,0.8,9,0,0,0
534,0.171518,0.092195,0,0.842628,0,0.842628,0,0,0.065177,0.065177,0,1900900,0,1900900,78.6,1.850643,6,42,100,0.8,9,0,0,0
535,0.149269,0.220688,0.015661,0.683206,0,0.698867,0,0,0.080446,0.080446,0,822986.29,0,822986.29,28,0.855411,2,72,100,0.8,9,0,0,0
536,0.164737,0.167458,0,0.740165,0,0.740165,0,0,0.092377,0.092377,0,1373700,0,1373700,39.2,1.377089,3,72,100,0.8,9,0,0,0
537,0.181461,0.123344,0,0.778222,0,0.778222,0,0,0.098434,0.098434,0,1942000,0,1942000,53.1,1.874466,4,72,100,0.8,9,0,0,0
538,0.178185,0.111386,0.045994,0.762441,0,0.808435,0,0,0.080174,0.080174,0,2025500,0,2025500,66.7,2.031952,5,72,100,0.8,9,0,0,0
539,0.171952,0.092195,0.091245,0.754511,0,0.845756,0,0,0.062049,0.062049,0,1986600,0,1986600,85.6,2.173794,6,72,100,0.8,9,0,0,0
540,0.148767,0.220688,0.029264,0.67318,0,0.702444,0,0,0.076869,0.076869,0,824704.1824,0,824704.1824,29.2,0.889871,2,0,150,0.8,9,0,0,0
541,0.162237,0.167458,0.072776,0.679343,0,0.752119,0,0,0.080423,0.080423,0,1312500,0,1312500,45,1.382418,3,0,150,0.8,9,0,0,0
542,0.178642,0.123344,0.07693,0.715378,0,0.792308,0,0,0.084348,0.084348,0,1974800,0,1974800,62.2,2.141719,4,0,150,0.8,9,0,0,0
543,0.172226,0.111386,0.072791,0.742725,0,0.815516,0,0,0.073092,0.073092,0,1902700,0,1902700,66.7,1.900599,5,0,150,0.8,9,0,0,0
544,0.168505,0.092195,0.076934,0.768822,0,0.845756,0,0,0.062049,0.062049,0,1956200,0,1956200,78.9,2.050821,6,0,150,0.8,9,0,0,0
545,0.148653,0.220688,0.043355,0.661987,0,0.705342,0,0,0.07397,0.07397,0,791224.5522,0,791224.5522,30.8,0.858822,2,42,150,0.8,9,0,0,0
546,0.167158,0.167458,0.075955,0.67401,0,0.749965,0,0,0.082577,0.082577,0,1426100,0,1426100,49.6,1.52435,3,42,150,0.8,9,0,0,0
547,0.173619,0.123344,0.095462,0.699613,0,0.795075,0,0,0.081581,0.081581,0,1718700,0,1718700,59.3,1.856242,4,42,150,0.8,9,0,0,0
548,0.169852,0.111386,0.119667,0.698207,0,0.817874,0,0,0.070735,0.070735,0,1884700,0,1884700,66.7,2.058047,5,42,150,0.8,9,0,0,0
549,0.165559,0.092195,0.121947,0.730258,0,0.852205,0,0,0.055599,0.055599,0,1854800,0,1854800,87.6,2.055186,6,42,150,0.8,9,0,0,0
550,0.150628,0.220688,0.032258,0.667856,0,0.700114,0,0,0.079198,0.079198,0,859016.2131,0,859016.2131,30.5,0.901093,2,72,150,0.8,9,0,0,0
551,0.164441,0.167458,0.055418,0.694458,0,0.749876,0,0,0.082666,0.082666,0,1380700,0,1380700,46,1.489816,3,72,150,0.8,9,0,0,0
552,0.175822,0.123344,0.082933,0.709744,0,0.792677,0,0,0.083978,0.083978,0,1850700,0,1850700,58.9,1.923483,4,72,150,0.8,9,0,0,0
553,0.172317,0.111386,0.088649,0.728529,0,0.817178,0,0,0.07143,0.07143,0,1843300,0,1843300,70,1.916581,5,72,150,0.8,9,0,0,0
554,0.171952,0.092195,0.091245,0.754511,0,0.845756,0,0,0.062049,0.062049,0,1986600,0,1986600,85.6,2.173794,6,72,150,0.8,9,0,0,0
555,0.147078,0.220688,0.046107,0.657662,0,0.703769,0,0,0.075544,0.075544,0,804245.2356,0,804245.2356,27.8,0.888763,2,0,200,0.8,9,0,0,0
556,0.162237,0.167458,0.072776,0.679343,0,0.752119,0,0,0.080423,0.080423,0,1312500,0,1312500,45,1.382418,3,0,200,0.8,9,0,0,0
557,0.178596,0.123344,0.07693,0.715321,0,0.792251,0,0,0.084405,0.084405,0,1967000,0,1967000,62,2.129163,4,0,200,0.8,9,0,0,0
558,0.172226,0.111386,0.072791,0.742725,0,0.815516,0,0,0.073092,0.073092,0,1902700,0,1902700,66.7,1.900599,5,0,200,0.8,9,0,0,0
559,0.168505,0.092195,0.076934,0.768822,0,0.845756,0,0,0.062049,0.062049,0,1956200,0,1956200,78.9,2.050821,6,0,200,0.8,9,0,0,0
560,0.143664,0.220688,0.083981,0.627739,0,0.71172,0,0,0.067593,0.067593,0,709189.5165,0,709189.5165,27.6,0.832653,2,42,200,0.8,9,0,0,0
561,0.166084,0.167458,0.098406,0.654207,0,0.752613,0,0,0.079929,0.079929,0,1435800,0,1435800,50.5,1.559117,3,42,200,0.8,9,0,0,0
562,0.173037,0.123344,0.095462,0.69996,0,0.795422,0,0,0.081234,0.081234,0,1701400,0,1701400,58.9,1.838044,4,42,200,0.8,9,0,0,0
563,0.170126,0.111386,0.119667,0.697859,0,0.817526,0,0,0.071082,0.071082,0,1893500,0,1893500,66.7,2.074671,5,42,200,0.8,9,0,0,0
564,0.165559,0.092195,0.121947,0.730258,0,0.852205,0,0,0.055599,0.055599,0,1854800,0,1854800,87.6,2.055186,6,42,200,0.8,9,0,0,0
565,0.147112,0.220688,0.074712,0.630716,0,0.705428,0,0,0.073885,0.073885,0,800048.2584,0,800048.2584,28.8,0.903505,2,72,200,0.8,9,0,0,0
566,0.161336,0.167458,0.078687,0.67517,0,0.753857,0,0,0.078686,0.078686,0,1340500,0,1340500,45.6,1.488354,3,72,200,0.8,9,0,0,0
567,0.175822,0.123344,0.082933,0.709744,0,0.792677,0,0,0.083978,0.083978,0,1850700,0,1850700,58.9,1.923483,4,72,200,0.8,9,0,0,0
568,0.172831,0.111386,0.088649,0.72787,0,0.816519,0,0,0.072089,0.072089,0,1857800,0,1857800,69.9,1.93484,5,72,200,0.8,9,0,0,0
569,0.171952,0.092195,0.091245,0.754511,0,0.845756,0,0,0.062049,0.062049,0,1986600,0,1986600,85.6,2.173794,6,72,200,0.8,9,0,0,0
570,0.145685,0.220688,0.066283,0.643039,0,0.709322,0,0,0.06999,0.06999,0,766274.8344,0,766274.8344,29.2,0.883776,2,0,250,0.8,9,0,0,0
571,0.162237,0.167458,0.072776,0.679343,0,0.752119,0,0,0.080423,0.080423,0,1312500,0,1312500,45,1.382418,3,0,250,0.8,9,0,0,0
572,0.178116,0.123344,0.07693,0.716038,0,0.792968,0,0,0.083688,0.083688,0,1960300,0,1960300,62.3,2.119601,4,0,250,0.8,9,0,0,0
573,0.171781,0.111386,0.072791,0.743442,0,0.816233,0,0,0.072375,0.072375,0,1894400,0,1894400,67,1.885017,5,0,250,0.8,9,0,0,0
574,0.168505,0.092195,0.076934,0.768822,0,0.845756,0,0,0.062049,0.062049,0,1956200,0,1956200,78.9,2.050821,6,0,250,0.8,9,0,0,0
575,0.144635,0.220688,0.151159,0.567048,0,0.718207,0,0,0.061106,0.061106,0,770401.8672,0,770401.8672,34.6,0.976874,2,42,250,0.8,9,0,0,0
576,0.162728,0.167458,0.119005,0.638571,0,0.757576,0,0,0.074966,0.074966,0,1398000,0,1398000,50.5,1.557315,3,42,250,0.8,9,0,0,0
577,0.172158,0.123344,0.124305,0.669214,0,0.793519,0,0,0.083137,0.083137,0,1730600,0,1730600,55.5,1.939389,4,42,250,0.8,9,0,0,0
578,0.169852,0.111386,0.119667,0.698207,0,0.817874,0,0,0.070735,0.070735,0,1884700,0,1884700,66.7,2.058047,5,42,250,0.8,9,0,0,0
579,0.165559,0.092195,0.121947,0.730258,0,0.852205,0,0,0.055599,0.055599,0,1854800,0,1854800,87.6,2.055186,6,42,250,0.8,9,0,0,0
580,0.146815,0.220688,0.074712,0.631375,0,0.706087,0,0,0.073226,0.073226,0,795476.2584,0,795476.2584,28.9,0.897296,2,72,250,0.8,9,0,0,0
581,0.161336,0.167458,0.078687,0.67517,0,0.753857,0,0,0.078686,0.078686,0,1340500,0,1340500,45.6,1.488354,3,72,250,0.8,9,0,0,0
582,0.175274,0.123344,0.082933,0.710461,0,0.793394,0,0,0.083262,0.083262,0,1837400,0,1837400,59,1.91083,4,72,250,0.8,9,0,0,0
583,0.172317,0.111386,0.088649,0.728529,0,0.817178,0,0,0.07143,0.07143,0,1843300,0,1843300,70,1.916581,5,72,250,0.8,9,0,0,0
584,0.171952,0.092195,0.091245,0.754511,0,0.845756,0,0,0.062049,0.062049,0,1986600,0,1986600,85.6,2.173794,6,72,250,0.8,9,0,0,0
585,0.145674,0.220688,0.066283,0.643039,0,0.709322,0,0,0.06999,0.06999,0,764750.8344,0,764750.8344,29.2,0.881922,2,0,300,0.8,9,0,0,0
586,0.162237,0.167458,0.072776,0.679343,0,0.752119,0,0,0.080423,0.080423,0,1312500,0,1312500,45,1.382418,3,0,300,0.8,9,0,0,0
587,0.178116,0.123344,0.07693,0.716038,0,0.792968,0,0,0.083688,0.083688,0,1960300,0,1960300,62.3,2.119601,4,0,300,0.8,9,0,0,0
588,0.172226,0.111386,0.072791,0.742725,0,0.815516,0,0,0.073092,0.073092,0,1902700,0,1902700,66.7,1.900599,5,0,300,0.8,9,0,0,0
589,0.168505,0.092195,0.076934,0.768822,0,0.845756,0,0,0.062049,0.062049,0,1956200,0,1956200,78.9,2.050821,6,0,300,0.8,9,0,0,0
590,0.143733,0.220688,0.170084,0.550358,0,0.720442,0,0,0.05887,0.05887,0,750637.0017,0,750637.0017,34.7,0.981638,2,42,300,0.8,9,0,0,0
591,0.153801,0.167458,0.261776,0.513318,0,0.775094,0,0,0.057447,0.057447,0,1198100,0,1198100,58.7,1.776366,3,42,300,0.8,9,0,0,0
592,0.169247,0.123344,0.268911,0.539346,0,0.808257,0,0,0.068399,0.068399,0,1860600,0,1860600,68.4,2.616746,4,42,300,0.8,9,0,0,0
593,0.167055,0.111386,0.223644,0.604918,0,0.828562,0,0,0.060046,0.060046,0,1865000,0,1865000,80.3,2.426232,5,42,300,0.8,9,0,0,0
594,0.160445,0.092195,0.186798,0.671342,0,0.85814,0,0,0.049665,0.049665,0,1786900,0,1786900,91.6,2.170096,6,42,300,0.8,9,0,0,0
595,0.146815,0.220688,0.074712,0.631375,0,0.706087,0,0,0.073226,0.073226,0,795476.2584,0,795476.2584,28.9,0.900129,2,72,300,0.8,9,0,0,0
596,0.161336,0.167458,0.078687,0.67517,0,0.753857,0,0,0.078686,0.078686,0,1340500,0,1340500,45.6,1.488354,3,72,300,0.8,9,0,0,0
597,0.175274,0.123344,0.082933,0.710461,0,0.793394,0,0,0.083262,0.083262,0,1837400,0,1837400,59,1.91083,4,72,300,0.8,9,0,0,0
598,0.172831,0.111386,0.088649,0.72787,0,0.816519,0,0,0.072089,0.072089,0,1857800,0,1857800,69.9,1.93484,5,72,300,0.8,9,0,0,0
599,0.171952,0.092195,0.091245,0.754511,0,0.845756,0,0,0.062049,0.062049,0,1986600,0,1986600,85.6,2.173794,6,72,300,0.8,9,0,0,0
600,0.150571,0.134203,0.034899,0.733644,0,0.768543,0,0,0.097254,0.097254,0,863408.9868,0,863408.9868,24.3,0.853316,2,0,100,0.3,11,0,0,0
601,0.165982,0.09955,0,0.789787,0,0.789787,0,0,0.110663,0.110663,0,1381300,0,1381300,31.9,1.237151,3,0,100,0.3,11,0,0,0
602,0.181781,0.044727,0,0.842079,0,0.842079,0,0,0.113194,0.113194,0,1897900,0,1897900,45.1,1.730703,4,0,100,0.3,11,0,0,0
603,0.178721,0.058153,0,0.84357,0,0.84357,0,0,0.098284,0.098284,0,1918000,0,1918000,51.3,1.729051,5,0,100,0.3,11,0,0,0
604,0.174692,0.048316,0.079221,0.797342,0,0.876563,0,0,0.075121,0.075121,0,2042300,0,2042300,69,2.025707,6,0,100,0.3,11,0,0,0
605,0.150251,0.134203,0.017184,0.75328,0,0.770464,0,0,0.095333,0.095333,0,857271.9323,0,857271.9323,24.6,0.817987,2,42,100,0.3,11,0,0,0
606,0.167648,0.09955,0,0.788192,0,0.788192,0,0,0.112258,0.112258,0,1342100,0,1342100,33.1,1.255112,3,42,100,0.3,11,0,0,0
607,0.183071,0.044727,0,0.842333,0,0.842333,0,0,0.112939,0.112939,0,1917600,0,1917600,46.3,1.687542,4,42,100,0.3,11,0,0,0
608,0.18097,0.058153,0,0.842158,0,0.842158,0,0,0.099695,0.099695,0,2072000,0,2072000,52.7,1.811097,5,42,100,0.3,11,0,0,0
609,0.173276,0.048316,0,0.876563,0,0.876563,0,0,0.075121,0.075121,0,1842700,0,1842700,67.2,1.738192,6,42,100,0.3,11,0,0,0
610,0.149795,0.134203,0.020337,0.749495,0,0.769832,0,0,0.095965,0.095965,0,839289.5085,0,839289.5085,24,0.798337,2,72,100,0.3,11,0,0,0
611,0.164555,0.09955,0,0.790192,0,0.790192,0,0,0.110259,0.110259,0,1326200,0,1326200,31.4,1.214948,3,72,100,0.3,11,0,0,0
612,0.183025,0.044727,0,0.840029,0,0.840029,0,0,0.115243,0.115243,0,1914200,0,1914200,44.7,1.694057,4,72,100,0.3,11,0,0,0
613,0.180068,0.058153,0.048911,0.800024,0,0.848935,0,0,0.09292,0.09292,0,1970400,0,1970400,57.1,1.846718,5,72,100,0.3,11,0,0,0
614,0.170582,0.048316,0.093059,0.790757,0,0.883816,0,0,0.067868,0.067868,0,1799500,0,1799500,73.7,1.901159,6,72,100,0.3,11,0,0,0
615,0.150354,0.134203,0.034899,0.73436,0,0.769259,0,0,0.096538,0.096538,0,859267.9984,0,859267.9984,24.4,0.849,2,0,150,0.3,11,0,0,0
616,0.163687,0.09955,0.076933,0.727317,0,0.80425,0,0,0.0962,0.0962,0,1291300,0,1291300,37.2,1.270367,3,0,150,0.3,11,0,0,0
617,0.179167,0.044727,0.079221,0.776583,0,0.855804,0,0,0.099469,0.099469,0,1908000,0,1908000,51.2,1.886685,4,0,150,0.3,11,0,0,0
618,0.178938,0.058153,0.032606,0.815611,0,0.848217,0,0,0.093636,0.093636,0,1956300,0,1956300,55.1,1.788162,5,0,150,0.3,11,0,0,0
619,0.174692,0.048316,0.079221,0.797342,0,0.876563,0,0,0.075121,0.075121,0,2042300,0,2042300,69,2.025707,6,0,150,0.3,11,0,0,0
620,0.150868,0.134203,0.043345,0.728197,0,0.771542,0,0,0.094255,0.094255,0,859128.7167,0,859128.7167,25.8,0.853848,2,42,150,0.3,11,0,0,0
621,0.167603,0.09955,0.079094,0.721192,0,0.800286,0,0,0.100164,0.100164,0,1373400,0,1373400,38.7,1.38732,3,42,150,0.3,11,0,0,0
622,0.179075,0.044727,0.101173,0.755985,0,0.857158,0,0,0.098115,0.098115,0,1803400,0,1803400,52.1,1.785103,4,42,150,0.3,11,0,0,0
623,0.173253,0.058153,0.124679,0.732318,0,0.856997,0,0,0.084857,0.084857,0,1910700,0,1910700,56.2,1.92798,5,42,150,0.3,11,0,0,0
624,0.172979,0.048316,0.126932,0.756798,0,0.88373,0,0,0.067954,0.067954,0,1941300,0,1941300,77.4,2.050631,6,42,150,0.3,11,0,0,0
625,0.149178,0.134203,0.039873,0.735776,0,0.775649,0,0,0.090149,0.090149,0,823682.241,0,823682.241,25.5,0.795635,2,72,150,0.3,11,0,0,0
626,0.163642,0.09955,0.061917,0.74009,0,0.802007,0,0,0.098443,0.098443,0,1281700,0,1281700,36.2,1.283299,3,72,150,0.3,11,0,0,0
